,Unnamed: 0,state,cityid,sitetype,tag,type,mislabeled check,title,title_sub,businessname,url,domain,desc,last_update_date,location,operation_time,url_googlemap,url_moreplace,domain2,web_status,web_error
10,12,CT,2729474,website,farmersmarket,1,,"Farmers Market | West Haven, CT",City of West Haven|https://www.cityofwesthaven.com| › Farmers-Market,,https://www.cityofwesthaven.com/346/farmers-market,www.cityofwesthaven.com,"The Tony Inzero Farmers Market is sponsored by the city and has operated since 2000 — first on the West Haven Green, and since 2022 next to the Oak Street Beach ...",2022,,,,,cityofwesthaven.com,good,
11,10,CT,2769628,news,farmersmarket,1,,Indoor Winter Farmers' Market In Connecticut - OnlyInYourState,onlyinyourstate.com|https://www.onlyinyourstate.com| › connecticut › west...,,https://www.onlyinyourstate.com/connecticut/westport-farmers-market-ct/,www.onlyinyourstate.com,"Nov 15, 2020 — Stop by the Westport Farmers' Market between 10 a.m. and 2 p.m. every Thursday. ... Westport Farmers' Market has nearly everything you need.","Nov 15, 2020",,,,,onlyinyourstate.com,good,
12,11,CT,2745682,news,farmersmarket,1,,New London - L+M Hosital Farmers' Market,CT NOFA|https://guide.ctnofa.org| › new-london-ct › new-londo...,,https://guide.ctnofa.org/g/new-london-ct/n/907/new-london-lm-hosital-farmers-market,guide.ctnofa.org,"New London - L+M Hosital Farmers' Market. Facebook; Twitter; Pinterest; Email ... New London, CT. Support CT NOFA. To list your farm or join CT NOFA. Contact Us ...",,,,,,guide.ctnofa.org,good,
13,14,DC,2712700,website,farmersmarket,1,,"Columbia Heights Farmers Market - Washington, DC",Guide Us Green|https://www.guideusgreen.com| › directory › biz › col...,,https://www.guideusgreen.com/directory/biz/columbia-heights-farmers-market,www.guideusgreen.com,"The Columbia Heights Farmers Market is the flagship market of Community Foodworks in Washington, DC. It is located in one of the densest and most diverse ...",,,,,,guideusgreen.com,good,
14,13,DC,2769844,news - listings,farmersmarket,listings,should be other,DC tops list of large cities for farmers markets,WTOP|https://wtop.com| › Latest News,,https://wtop.com/business-finance/2020/08/national-farmers-market-week-begins-today-dc-ranks-among-the-best-in-the-country/,wtop.com,"Aug 2, 2020 — The District has 82.6 farmers markets per one million residents; that's nearly 4.5 times greater than the 18.7 average across all 100 cities, ...","Aug 2, 2020",,,,,top.com,good,
15,15,DC,2711872,website,farmersmarket,1,should be listings,Farmers Market Locations,Open Data DC (.gov)|https://opendata.dc.gov| › datasets › farmers-market-lo...,,https://opendata.dc.gov/datasets/farmers-market-locations,opendata.dc.gov,"Farmers Market Locations ; Common Good City Farm, 300 V Street NW, 1, Wednesday, 3:30pm - 6:30pm ; Dreaming Out Loud's Kelly Miller Market, 301 49th Street NE, 7 ...",,,,,,opendata.dc.gov,good,
16,16,DE,2715454,news,farmersmarket,1,,Delano Farmers Market - Twin Cities Things To Do,Star Tribune|https://www.startribune.com| › calendar › details › DE...,,https://www.startribune.com/variety/things-to-do/calendar/details/delano-farmers-market/12136150/2023-08-23t14/,www.startribune.com,"... Minnesota's Best. Winners · Nominations · Voting · About. Follow us. Log In · Log Out ... Delano Farmers Market. 23062368CU_BXBr02Pq_SzgvqkPw. Wed, Aug 23, 2023 , ...","Wed, Aug 23, 2023",,,,,startribune.com,good,
17,19,GA,2709802,website,farmersmarket,1,,Canton Farmers Market,"Canton, GA (.gov)|https://www.cantonga.gov| › visit-us › downtown-canton",,https://www.cantonga.gov/our-city/visit-us/downtown-canton/canton-farmers-market,www.cantonga.gov,"Opening Day for the Canton Farmers Market is Saturday, June 3rd! The CFM is an open-air market that features farm fresh produce, baked goods, food specialty ...",,,,,,cantonga.gov,good,
18,17,GA,2768620,news,farmersmarket,1,,"Farmers Market (Oconee) - Watkinsville, GA",cityofwatkinsville.com|https://cityofwatkinsville.com| › Farmers-Market-Oconee,,https://cityofwatkinsville.com/257/farmers-market-oconee,cityofwatkinsville.com,"The Oconee Farmers Market offers fresh produce, prepared foods, eggs, arts and crafts, music, and more ... City of Watkinsville. 191 VFW Drive | P.O. Box 27.",,,,,,cityofwatkinsville.com,good,
19,18,GA,2764750,news,farmersmarket,1,,"Thomson Farmers Market - Visit Thomson, GA",visitthomsonga.com|https://www.visitthomsonga.com| › community-events,,https://www.visitthomsonga.com/community-events/2021/6/5/thomson-farmers-market,www.visitthomsonga.com,"Jun 5, 2021 — Our seasonal farmer's market will be on Railroad Street in Thomson, Georgia and run from 8:00-12:00 on Saturdays in June and July. We are so ...","Jun 5, 2021",,,,,visitthomsonga.com,good,
20,20,IA,2711764,individual,farmersmarket,1,,"Clear Lake Farmers Market Iowa - Vegetables, Fruits, Meats ...",Clear Lake Farmers Market|,,http://www.clearlakefarmersmarket.com/,www.clearlakefarmersmarket.com,"Clear Lake, Iowa Farmers Market is open Saturday mornings in the parking lot of the Surf Ballroom. Stock up on fresh vegetables, fruits, and more!",,,,,,clearlakefarmersmarket.com,bad,"HTTPConnectionPool(host='www.clearlakefarmersmarket.com', port=80): Read timed out. (read timeout=2)"
21,23,IA,2713114,website,farmersmarket,1,,Farmers Market - Coon Rapids IA,"City of Coon Rapids, Iowa|https://www.coonrapidsiowa.com| › farmersmarket",,https://www.coonrapidsiowa.com/farmersmarket,www.coonrapidsiowa.com,"Market days are Saturdays, 9:00 am to 12 noon from June 10 – September 30, 2023. Vendor products for sale will include produce, crafts, artisan and cottage ...","September 30, 2023",,,,,coonrapidsiowa.com,good,
22,21,IA,2725334,news,farmersmarket,1,,"Farmers Market | Johnston, IA - Official Website",City of Johnston|https://www.cityofjohnston.com| › Farmers-Market,,https://www.cityofjohnston.com/865/farmers-market,www.cityofjohnston.com,Time: 5 - 8 p.m. ... Join us for the 2023 Johnston Farmers Market at the Johnston Town Center. The vendors will be located on the north side of City Hall. Parking ...,2023,,,,,cityofjohnston.com,good,
23,22,IA,2739014,news,farmersmarket,1,,Photos: Iowa City Farmers Market returns for the summer,The Daily Iowan|https://dailyiowan.com| › 2022/05/08 › photos-iowa-ci...,,https://dailyiowan.com/2022/05/08/photos-iowa-city-farmers-market-returns-for-the-summer/,dailyiowan.com,"May 8, 2022 — Daniel McGregor-Huyer is a photojournalist and videographer at The Daily Iowan. ... Minnesota midfielder Sophia Romine navigates around Iowa ...","May 8, 2022",,,,,dailyiowan.com,good,
24,24,ID,2701972,news,farmersmarket,listings,,2022-Farmers-Market-Guide_web.pdf,Idaho State Department of Agriculture (.gov)|https://agri.idaho.gov| › uploads › 2022/05 › 20...,,https://agri.idaho.gov/main/wp-content/uploads/2022/05/2022-farmers-market-guide_web.pdf,agri.idaho.gov,"May 11, 2022 — Capital City Public Market*. Boise - 827 W Main - The Grove Plaza ... Arco - 310 S. Idaho St. Thursdays 5 pm - 7 pm. July 14 - September 15. On ...","May 11, 2022",,,,,agri.idaho.gov,bad,404 Client Error: Not Found for url: https://agri.idaho.gov/main/wp-content/uploads/2022/05/2022-farmers-market-guide_web.pdf
25,26,ID,2708524,website,farmersmarket,1,,Buhl Wednesday Farmers Market,Idaho Preferred|https://idahopreferred.com| › Members,,https://idahopreferred.com/members/local-buhl-farmers-market/,idahopreferred.com,"Buhl Wednesday Farmers Market. Contact Us. 1010 Main St. Buhl, ID 83316.",,,,,,idahopreferred.com,good,
26,25,ID,2731094,news,farmersmarket,other,,Group effort in Iona leads to farmers market being approved,East Idaho News|https://www.eastidahonews.com| › 2023/07 › group-ef...,,https://www.eastidahonews.com/2023/07/group-effort-in-iona-leads-to-farmers-market-being-approved/,www.eastidahonews.com,"Jul 11, 2023 — IONA — A farmers market is scheduled to open next week in Iona, all because of a group effort that brought it to the City Council.","Jul 11, 2023",,,,,eastidahonews.com,good,
27,28,IL,2702872,news - listings,farmersmarket,listings,,"5 farmers markets near Romeoville, IL for fresh produce",Creme de la Creme|https://cremedelacreme.com| › blog › farmers-markets-...,,https://cremedelacreme.com/blog/farmers-markets-romeoville-il/,cremedelacreme.com,"Jul 28, 2021 — The Aurora Farmers Market is located at 65 Water Street in Water Square, Aurora, Illinois. That address is right across from City Hall and the ...","Jul 28, 2021",,,,,cremedelacreme.com,good,
28,29,IL,2729474,news - listings,farmersmarket,listings,,"6 Farmers Markets to Try Near South Barrington, IL",Creme de la Creme|https://cremedelacreme.com| › blog › farmers-markets-...,,https://cremedelacreme.com/blog/farmers-markets-near-south-barrington-il/,cremedelacreme.com,"May 19, 2022 — The Summer Market is open every Saturday in June through mid-October from 8 a.m. to 1 p.m. at 901 Wellington Ave, and the Winter Market is open ...","May 19, 2022",,,,,cremedelacreme.com,good,
29,30,IL,2756086,website,farmersmarket,1,,El Mercadito Farmers Market,"Round Lake Beach, IL (.gov)|https://www.roundlakebeachil.gov| › el_mercadito",,https://www.roundlakebeachil.gov/round_lake_beach_civic_center/el_mercadito.php,www.roundlakebeachil.gov,"El Mercadito Farmers Market RLB! 1019 N Lake Shore Drive Round Lake Beach, IL 60073 2023 Market will run every OTHER Saturday from June 10 - September 16, 10AM ...",2023,,,,,roundlakebeachil.gov,good,
30,31,IL,2769844,website,farmersmarket,1,,"May 2024, a Farmers Market in Wheaton, Illinois",FestivalNet|https://festivalnet.com| › Wheaton-Illinois › Wheaton-...,,https://festivalnet.com/83811/wheaton-illinois/farmers-markets/wheaton-french-market-may,festivalnet.com,"Wheaton French Market - May ; Admission: none ; Days/Hours Open: Saturdays 8am-2pm ; Address: Main Street and W. Liberty Drive, Wheaton, IL 60187 ; Attendance: ...",,,,,,festivalnet.com,bad,"HTTPSConnectionPool(host='festivalnet.com', port=443): Read timed out. (read timeout=2)"
31,27,IL,2755006,event,farmersmarket,1,,"Rockford Farmers Market | Rockford, IL Local Produce",Go Rockford|https://www.gorockford.com| › events › farmers-markets,,https://www.gorockford.com/events/farmers-markets/,www.gorockford.com,"Come visit Rockford's City Market this summer and fall on Friday afternoons and evenings. Shop for produce, local prepared foods and handcrafted goods.",,,,,,gorockford.com,good,
32,32,IL,2715418,website,farmersmarket,1,should be bad,The-Indoor-Farmers-Market-Evolution-of-a-Local-Food- ...,Illinois Institute for Rural Affairs|https://www.iira.org| › archive › pubs › The-Ind...,,https://www.iira.org/archive/pubs/the-indoor-farmers-market-evolution-of-a-local-food-sales-model.pdf,www.iira.org,"Dec 8, 2014 — its origins to 1857. The Indianapolis City Market began operations in 1886. The Detroit Eastern. Market has been a retail fresh food source ...","Dec 8, 2014",,,,,iira.org,bad,404 Client Error: Not Found for url: https://iira.org/archive/pubs/the-indoor-farmers-market-evolution-of-a-local-food-sales-model.pdf
33,33,IN,2706616,website - listings,farmersmarket,listings,,"Bloomington, IN Farmers Markets | Locally Grown & Sources Goods",visitbloomington.com|https://www.visitbloomington.com| › farmers-market,,"https://www.visitbloomington.com/things-to-do/downtown/farmers-market/#:~:text=free%20parking-,no%20pets,cards%20are%20available%20for%20purchase",www.visitbloomington.com,,,,,,,visitbloomington.com,good,
34,36,KS,2756950,website,farmersmarket,1,,"Cheyenne County Farmers' Market - Saint Francis KS, 67756",Kansas Tourism|https://www.travelks.com| › listing › cheyenne-county-...,,https://www.travelks.com/listing/cheyenne-county-farmers%e2%80%99-market/42151/,www.travelks.com,"Local growers connecting with the community Location: St. Francis City Park, St. Francis KS Hours: Every Saturday from 9 a.m.-noon Season: June-September.",,,,,,travelks.com,good,
35,37,KS,2740418,website,farmersmarket,1,,KCK Farmers Market,"Visit Kansas City, Kansas|https://www.visitkansascityks.com| › listing › kck-farm...",,https://www.visitkansascityks.com/listing/kck-farmers-market/1743/,www.visitkansascityks.com,"KCK Farmers Market · The Merc Co+op, 501 Minnesota Ave Kansas City, KS 66101 · (818) 237-0005 · kckfarmersmarket@gmail.com.",,,,,,visitkansascityks.com,good,
36,34,KS,2738258,news,farmersmarket,1,,Louisburg Farmers Market,"Louisburg, Kansas (.gov)|https://www.louisburgkansas.gov| › facility › details",,https://www.louisburgkansas.gov/facilities/facility/details/farmers-market-14,www.louisburgkansas.gov,The Farmers Market property is a green space just west of Downtown Louisburg located between S. 2nd and S. 3rd streets between Mulberry and Doyle streets.,,,,,,louisburgkansas.gov,good,
37,38,KS,2738258,website,farmersmarket,1,,"Louisburg Farmer's Market - Louisburg KS, 66053",Kansas Tourism|https://www.travelks.com| › listing › louisburg-farmers...,,https://www.travelks.com/listing/louisburg-farmers-market/25902/,www.travelks.com,"Louisburg Farmer's Market · Corner of South 2nd and Mulberry St, Downtown Louisburg's Business Distric Louisburg, KS 66053 · middlecreekwinery@gmail.com · (913) ...",,,,,,travelks.com,good,
38,35,KS,2757238,news - listings,farmersmarket,listings,,Where and when to find farmers markets in Kansas City in 2023,kansascity.com|https://www.kansascity.com| › article274334465,,https://www.kansascity.com/kc-city-guides/things-to-do/article274334465.html,www.kansascity.com,"Apr 15, 2023 — Gardner Farmers Market: Located in Cornerstone Park next to the Gardner Aquatic Center, the market is open every Thursday from May 25 to Sept. 7 ...","Apr 15, 2023",,,,,kansascity.com,bad,"HTTPSConnectionPool(host='www.kansascity.com', port=443): Read timed out. (read timeout=2)"
39,39,LA,2712376,news - listings,farmersmarket,listings,,Bossier City Farmer's Market voted best in Louisiana,KTALnews.com|https://www.ktalnews.com| › news › local-news › bossi...,,https://www.ktalnews.com/news/local-news/bossier-city-farmers-market-voted-best-in-louisiana/,www.ktalnews.com,1 day ago — The Bossier City Farmers Market is at the Pierre Bossier Mall every Saturday from April to November. The market is open from 9 a.m. to 1 p.m. ...,,,,,,ktalnews.com,good,
40,40,LA,2724884,website,farmersmarket,1,,GRANADA HILLS CERTIFIED FARMERS' MARKET,211 LA County|https://211la.org| › resources › site › granada-hills-certi...,,https://211la.org/resources/site/granada-hills-certified-farmers-market,211la.org,Agency profile. GRANADA HILLS CERTIFIED FARMERS' MARKET. This federation administers farmers markets for consumers and farmers in Los Angeles ...,,,,,,211la.org,good,
41,42,MA,2714734,website,farmersmarket,1,,"Connors Farm, Danvers MA - Farmers Market",Connors Farm|https://www.connorsfarm.com| › farmersmarket,,https://www.connorsfarm.com/farmersmarket,www.connorsfarm.com,"Farmers Market at Connors Farm, Danvers MA - Farm Fun For The Family!",,,,,,connorsfarm.com,good,
42,41,MA,2740166,news,farmersmarket,1,,Maple Grove Farmers Market - Twin Cities Things To Do,Star Tribune|https://www.startribune.com| › calendar › details › MA...,,https://www.startribune.com/variety/things-to-do/calendar/details/maple-grove-farmers-market/12093618/2023-08-03t15,www.startribune.com,"... Minnesota's Best. Winners · Nominations · Voting · About. Follow us. Log In · Log Out ... Maple Grove Farmers Market. 230609rREvL9Ej9UGuB4Cs06vmHw. Thu, Aug 03, ...",,,,,,startribune.com,good,
43,43,MA,2767918,website - listings,farmersmarket,listings,,"Mass Farmers Markets (MFM) | Waltham, MA",Cause IQ|https://www.causeiq.com| › ... › Waltham,,"https://www.causeiq.com/organizations/the-federation,042666643/",www.causeiq.com,"Broad Street Market Alliance, 501(c)(3), Harrisburg, PA, $390,267. Minnesota Agricultural Interpretive Center, 501(c)(3), Waseca, MN, $536,917. Ohio County ...",,,,,,causeiq.com,good,
44,44,MA,2714734,website - listings,farmersmarket,listings,,"Top Farmers Markets Danvers, MA",Ira Toyota of Danvers|https://www.toyotaofdanvers.com| › top-farmers-mark...,,https://www.toyotaofdanvers.com/top-farmers-markets-danvers-ma/,www.toyotaofdanvers.com,"Fresh produce and homegrown goods are ready for the picking when you visit these top farmers markets in Danvers, MA. Once you stop by, you'll find a range ...",,,,,,toyotaofdanvers.com,bad,403 Client Error: Forbidden for url: https://www.toyotaofdanvers.com/top-farmers-markets-danvers-ma/
45,45,MD,2765938,website,farmersmarket,1,,"Farmers' Market | Bowie, MD - Official Website",cityofbowie.org|https://www.cityofbowie.org| › Farmers-Market,,https://www.cityofbowie.org/103/farmers-market,www.cityofbowie.org,"Market patrons can find a variety of fresh fruit and vegetables, breads and baked goods, beef and goat meat, fresh cut flowers, and bedding plants for sale at ...",,,,,,cityofbowie.org,good,
46,46,MI,2729618,news,farmersmarket,1,,A Trip To This Indoor Farmers Market in Michigan Will ...,OnlyInYourState|https://www.onlyinyourstate.com| › michigan › indoor...,,https://www.onlyinyourstate.com/michigan/indoor-market-holland-mi/,www.onlyinyourstate.com,"Jan 9, 2023 — The Holland Farmer's market takes place at the Holland Civic Center Place in West Michigan. · Every season brings new produce, flowers, and ...","Jan 9, 2023",,,,,onlyinyourstate.com,good,
47,47,MI,2756824,news,farmersmarket,1,,"Farmers Market | St. Clair Shores, MI - Official Website","St. Clair Shores, MI|https://www.scsmi.net| › Farmers-Market",,https://www.scsmi.net/877/farmers-market,www.scsmi.net,The St. Clair Shores Farmers Market is an open-air market with plenty of fun for the whole family. The SCSFM has all of your favorite farmers market ...,,,,,,scsmi.net,good,
48,49,MI,2735558,website,farmersmarket,listings,,Farmer's Market Permit Requirements and General ...,Michigan (.gov)|https://www.michigan.gov| › lcc › MW-FAQ,,https://www.michigan.gov/lara/-/media/project/websites/lara/lcc/mlcc-faqs/mw-faq/farmers-market-permit-faq.pdf?rev=22ddd5e512fc486c938150978defa1d5&hash=f5d8f574a14e29acd9f998f1b283645b,www.michigan.gov,"Michigan Liquor Control Commission. P.O. Box 30005. Lansing, MI 48909. Toll –Free: 1-866-813-0011. Email: MLCCMWapplications@michigan.gov. Website: www.michigan ...",,,,,,michigan.gov,good,
49,48,MI,2756572,news,farmersmarket,1,,Mill City Farmers Market - Twin Cities Things To Do,Star Tribune|https://www.startribune.com| › calendar › details › MI...,,https://www.startribune.com/variety/things-to-do/calendar/details/mill-city-farmers-market/11809098/2023-09-02t08,www.startribune.com,"Mill City Farmers Market is Minneapolis' trusted source for healthy, local and sustainable groceries, combining a vibrant marketplace with nourishing ...",,,,,,startribune.com,good,
50,50,MI,2766046,website,farmersmarket,1,,"Sara Hardy Downtown Farmers Market | Traverse City, MI 49684",traversecity.com|https://www.traversecity.com| › listings › sara-hardy-dow...,,"https://www.traversecity.com/listings/sara-hardy-downtown-farmers-market/1137/#:~:text=the%20farmers%20market%20is%20open,on%20wednesdays%2c%20june%20through%20october.",www.traversecity.com,,,,,,,traversecity.com,good,
51,420,MN,2718836,news,farmersmarket,1,should be other,$76K Awarded in Farmers Market Grants,Compeer Financial|https://www.compeer.com| › january-2022 › $76k-awa...,,https://www.compeer.com/press-releases/2022/january-2022/$76k-awarded-in-farmers-market-grants,www.compeer.com,"Jan 25, 2022 — Little Falls Farmers Market, Inc. Maple Grove Farmers Market. Mill City Farmers Market (Minneapolis) ... Ellsworth Farmers Market. Greenfield ...","Jan 25, 2022",,,,,compeer.com,good,
52,421,MN,2755006,news,farmersmarket,1,should be other,$87K awarded in Farmers Market Grants,Compeer Financial|https://www.compeer.com| › press-releases › april-2023,,https://www.compeer.com/press-releases/2023/april-2023/$87k-awarded-in-farmers-market-grants,www.compeer.com,"Apr 17, 2023 — Riverside Farmers' Market. Rockford City Market. Rockford Midtown Market. Stephenson County Farmers Market (Freeport). Stronghurst Farmers ...","Apr 17, 2023",,,,,compeer.com,good,
53,1532,MN,2720906,website,farmersmarket,1,,▷ Fergus Falls Farmers Market - Cylex Local Search,Cylex USA|https://www.cylex.us.com| › company › fergus-falls-fa...,,https://www.cylex.us.com/company/fergus-falls-farmers-market-27748576.html,www.cylex.us.com,"Jun 17, 2022 — Check Fergus Falls Farmers Market in Fergus Falls, MN, West Lincoln Avenue on Cylex and find ☎ (218) 739-3..., contact info, ...","Jun 17, 2022",,,,,cylex.us.com,bad,403 Client Error: Forbidden for url: https://www.cylex.us.com/company/fergus-falls-farmers-market-27748576.html
54,1659,MN,2706616,website - listings,farmersmarket,listings,should be other,§ 14.607 REQUIREMENTS FOR ALL FARMERS MARKETS.,American Legal Publishing|https://codelibrary.amlegal.com| › bloomington_mn,,https://codelibrary.amlegal.com/codes/bloomington/latest/bloomington_mn/0-0-0-101463,codelibrary.amlegal.com,farmers market from the City of Bloomington;. (2) Ensuring compliance with the farmers market's policy documents and all the farmers market requirements ...,,,,,,codelibrary.amlegal.com,good,
55,994,MN,2711566,website,farmersmarket,1,,"02/02/2010, PRESENTATIONS - FARMERS MARKET ...",City of San Luis Obispo|https://opengov.slocity.org| › WebLink › DocView › rep...,,https://opengov.slocity.org/weblink/docview.aspx?id=32890&dbid=0&repo=cityclerk,opengov.slocity.org,"... farmers and the SLO County Fanners Market Association in our city's weekly Farmers Market. ... As the founder of the Claremont Farmers' Market Association, I ...",,,,,,opengov.slocity.org,good,
56,1563,MN,2735738,website - listings,farmersmarket,listings,,10 Places to Stay Near Minneapolis Farmers Market,Agoda.com|https://www.agoda.com| › ... › Minneapolis (MN) Hotels,,https://www.agoda.com/hotels-near-minneapolis-farmers-market/attractions/minneapolis-mn-us.html,www.agoda.com,"Minneapolis Farmers Market is a shopper's haven, located in the vibrant city of Minneapolis, Minnesota. This market is a must-visit for anyone looking to ...",,,,,,agoda.com,good,
57,422,MN,2743864,news,farmersmarket,1,,10th Annual Moorhead farmers market opens today,Valley News Live|https://www.valleynewslive.com| › 2023/06/06 › 10th-an...,,https://www.valleynewslive.com/2023/06/06/10th-annual-moorhead-farmers-market-opens-today/,www.valleynewslive.com,"Jun 6, 2023 — The market will be open ...","Jun 6, 2023",,,,,valleynewslive.com,good,
58,860,MN,2748598,news - listings,farmersmarket,listings,,11 awesome flea markets and farmers markets near the ...,Twin Cities Agenda|https://tcagenda.com| › awesome-flea-markets-near-mi...,,https://tcagenda.com/2017/awesome-flea-markets-near-minneapolis-st-paul/,tcagenda.com,"Jul 4, 2017 — Averaging 200 – 300 sellers every Saturday, the Wright County Swappers Meet has evolved into one of the largest outdoor markets in the state.","Jul 4, 2017",,,,,tcagenda.com,good,
59,423,MN,2758036,news,farmersmarket,1,,12:00 pm St. Peter Farmers' Market,MankatoLIFE|https://www.mankatolife.com| › event › st-peter-farmer...,,https://www.mankatolife.com/event/st-peter-farmers-market/2023-06-17/,www.mankatolife.com,"Jun 17, 2023 — Come on out and support your local St. Peter Farmers Market! We have locally grown and handmade items from various vendors!","Jun 17, 2023",,,,,mankatolife.com,good,
60,861,MN,2735558,news - listings,farmersmarket,listings,,14 Lansing Area Farmers Markets You Need to Check Out,100.7 WITL|https://witl.com| › lansing-area-farmers-markets,,https://witl.com/lansing-area-farmers-markets/,witl.com,"May 24, 2022 — East Lansing Farmers Market · East Lansing Farmers Market · East Lansing Farmers Market · East Lansing Farmers Market · Pepper Plants at the East ...","May 24, 2022",,,,,itl.com,good,
61,1564,MN,2717288,website - listings,farmersmarket,listings,,15 Twin Cities farmers markets to shop this spring,Axios|https://www.axios.com| › Food and Drink,,https://www.axios.com/local/twin-cities/2023/04/10/twin-cities-farmers-markets-2023,www.axios.com,"Apr 10, 2023 — Market in the Valley: The Golden Valley market exclusively sells Minnesota-grown produce and other goods. Open Sundays from June 19-Oct. 9 ...","Apr 10, 2023",,,,,axios.com,bad,403 Client Error: Forbidden for url: https://www.axios.com/local/twin-cities/2023/04/10/twin-cities-farmers-markets-2023
62,857,MN,2710918,news,onfarm market,1,,2022 Chanhassen Farmer's Market Rules and Regulations,Squarespace|https://static1.squarespace.com| › static › Rules+...,,https://static1.squarespace.com/static/58cef6189de4bb535a04fc0c/t/61ba699c3186bb3e2978d607/1639606684544/rules+%26+regulations+2022.pdf,static1.squarespace.com,Processors must produce their products in Minnesota or be Minnesota based. ... clean and in a condition suitable to the Market Manager and the City of Chanhassen.,,,,,,static1.squarespace.com,good,
